region,state,city,park,launch_tier,likely_subsites,review_status
Pacific,CA,Long Beach,El Dorado East Regional Park,anchor,yes,candidate
Pacific,CA,Long Beach,Shoreline Aquatic Park,supporting,yes,candidate
Pacific,CA,Anaheim,Yorba Regional Park,anchor,yes,candidate
Pacific,CA,Anaheim,Pearson Park,supporting,yes,candidate
Pacific,CA,Irvine,Great Park,anchor,yes,candidate
Pacific,CA,Irvine,William R. Mason Regional Park,supporting,yes,candidate
Pacific,CA,San Diego,Balboa Park,anchor,yes,candidate
Pacific,CA,San Diego,Mission Bay Park,supporting,yes,candidate
Pacific,CA,San Diego,Waterfront Park,supporting,yes,candidate
Pacific,AK,Anchorage,Kincaid Park,anchor,yes,candidate
Pacific,AK,Anchorage,Far North Bicentennial Park,supporting,yes,candidate
Pacific,AK,Anchorage,Delaney Park Strip,supporting,yes,candidate
Pacific,HI,Honolulu,Kapiolani Regional Park,anchor,yes,candidate
Pacific,HI,Honolulu,Ala Moana Regional Park,supporting,yes,candidate
Pacific,HI,Honolulu,Diamond Head State Monument,anchor,yes,candidate
Pacific,HI,Honolulu,Hanauma Bay Nature Preserve,anchor,yes,candidate
Pacific,HI,Honolulu,Koko Crater Railway Trail,anchor,yes,candidate
Pacific,HI,Kaneohe,Hoomaluhia Botanical Garden,anchor,yes,candidate
Pacific,HI,Honolulu,Pearl Harbor National Memorial,anchor,yes,candidate
Pacific,HI,Kaneohe,Kualoa Regional Park,anchor,yes,candidate
Southeast,NC,Charlotte,McAlpine Creek Community Park,anchor,yes,candidate
Southeast,NC,Charlotte,Park Road Park,anchor,yes,candidate
Southeast,NC,Charlotte,Little Sugar Creek Greenway,anchor,yes,candidate
Southeast,NC,Greensboro,Country Park,anchor,yes,candidate
Southeast,NC,Greensboro,Battleground Parks District,anchor,yes,candidate
Southeast,NC,Greensboro,LeBauer Park,anchor,yes,candidate
Southeast,NC,Greensboro,Greensboro Arboretum,anchor,yes,candidate
Southeast,NC,Greensboro,Bog Garden at Benjamin Park,anchor,yes,candidate
Southeast,NC,Greensboro,Tanger Family Bicentennial Garden,anchor,yes,candidate
Southeast,NC,Greensboro,Keeley Park,anchor,yes,candidate
Southeast,NC,Greensboro,Atlantic and Yadkin Greenway,anchor,yes,candidate
Southeast,NC,Greensboro,Greensboro Downtown Greenway,anchor,yes,candidate
Southeast,NC,Durham,West Point on the Eno,anchor,yes,candidate
Southeast,NC,Durham,Durham Central Park,anchor,yes,candidate
Southeast,NC,Durham,Forest Hills Park,anchor,yes,candidate
Southeast,NC,Durham,Rock Quarry Park,anchor,yes,candidate
Southeast,NC,Durham,Leigh Farm Park,anchor,yes,candidate
Southeast,NC,Durham,Lake Michie Park and Marina,anchor,yes,candidate
Southeast,NC,Durham,American Tobacco Trail,anchor,yes,candidate
Southeast,NC,Winston-Salem,Salem Lake Park,anchor,yes,candidate
Southeast,NC,Winston-Salem,The Quarry at Grant Park,anchor,yes,candidate
Southeast,NC,Winston-Salem,Hanes Park,anchor,yes,candidate
Southeast,NC,Winston-Salem,Washington Park,anchor,yes,candidate
Southeast,NC,Clemmons,Tanglewood Park,anchor,yes,candidate
Southeast,NC,Winston-Salem,Winston Lake Park,anchor,yes,candidate
Southeast,NC,Winston-Salem,Muddy Creek Greenway,anchor,yes,candidate
Southeast,NC,Fayetteville,J. Bayard Clark Park and Nature Center,anchor,yes,candidate
Southeast,NC,Fayetteville,Cape Fear River Trail,anchor,yes,candidate
Southeast,NC,Fayetteville,Lake Rim Park,anchor,yes,candidate
Southeast,NC,Fayetteville,Festival Park,anchor,yes,candidate
Southeast,NC,Fayetteville,Mazarick Park,anchor,yes,candidate
Southeast,NC,Cary,Fred G. Bond Metro Park,anchor,yes,candidate
Southeast,NC,Cary,Hemlock Bluffs Nature Preserve,anchor,yes,candidate
Southeast,NC,Cary,Jack Smith Park,anchor,yes,candidate
Southeast,NC,Cary,Marla Dorrel Park,anchor,yes,candidate
Southeast,NC,Cary,Black Creek Greenway,anchor,yes,candidate
Southeast,NC,Wilmington,Greenfield Park,anchor,yes,candidate
Southeast,NC,Wilmington,Wilmington Riverwalk,anchor,yes,candidate
Southeast,NC,Wilmington,Long Leaf Park,anchor,yes,candidate
Southeast,NC,Wilmington,Halyburton Park,anchor,yes,candidate
Southeast,NC,Wilmington,Empie Park,anchor,yes,candidate
Southeast,NC,Wilmington,Gary Shell Cross-City Trail,anchor,yes,candidate
Southeast,NC,Concord,James L. Dorton Park,anchor,yes,candidate
Southeast,NC,Concord,Les Myers Park,anchor,yes,candidate
Southeast,NC,Concord,Weddington Road Bark Park,anchor,yes,candidate
Southeast,NC,Concord,McEachern Greenway,anchor,yes,candidate
Southeast,NC,Concord,Brown Mill Mountain Bike Trail Park,anchor,yes,candidate
Southeast,NC,Concord,Lake Fisher,anchor,yes,candidate
Southeast,NC,Winston-Salem,Salem Creek Greenway,anchor,yes,candidate
Southeast,NC,High Point,High Point City Lake Park,anchor,yes,candidate
Southeast,NC,High Point,Piedmont Environmental Center,anchor,yes,candidate
Southeast,NC,High Point,Oak Hollow Park,anchor,yes,candidate
Southeast,NC,High Point,High Point Greenway,anchor,yes,candidate
Southeast,NC,High Point,Bicentennial Greenway,anchor,yes,candidate
Southeast,NC,Greenville,River Park North,anchor,yes,candidate
Southeast,NC,Greenville,Wildwood Park,anchor,yes,candidate
Southeast,NC,Greenville,Greenville Town Common,anchor,yes,candidate
Southeast,NC,Greenville,South Tar River Greenway,anchor,yes,candidate
Southeast,NC,Gastonia,Rankin Lake Park,anchor,yes,candidate
Southeast,NC,Gastonia,Martha Rivers Park,anchor,yes,candidate
Southeast,NC,Gastonia,Lineberger Park,anchor,yes,candidate
Southeast,NC,Gastonia,Avon and Catawba Creek Greenway,anchor,yes,candidate
Southeast,NC,Apex,Pleasant Park,anchor,yes,candidate
Southeast,NC,Apex,Apex Community Park,anchor,yes,candidate
Southeast,NC,Apex,Apex Nature Park and Seymour Athletic Fields,anchor,yes,candidate
Southeast,NC,Apex,Kelly Road Park,anchor,yes,candidate
Southeast,NC,Jacksonville,Jacksonville Commons Recreation Complex,anchor,yes,candidate
Southeast,NC,Jacksonville,Riverwalk Crossing Park,anchor,yes,candidate
Southeast,NC,Jacksonville,Wilson Bay Park,anchor,yes,candidate
Southeast,NC,Jacksonville,Sturgeon City Park,anchor,yes,candidate
Southeast,NC,Jacksonville,Northeast Creek Park,anchor,yes,candidate
Southeast,NC,Huntersville,Latta Nature Preserve,anchor,yes,candidate
Southeast,NC,Huntersville,North Mecklenburg Park,anchor,yes,candidate
Southeast,NC,Huntersville,Holbrook Park,anchor,yes,candidate
Southeast,NC,Huntersville,Torrence Creek Greenway,anchor,yes,candidate
Southeast,NC,Chapel Hill,Southern Community Park,anchor,yes,candidate
Southeast,NC,Chapel Hill,Cedar Falls Park,anchor,yes,candidate
Southeast,NC,Chapel Hill,Homestead Park,anchor,yes,candidate
Southeast,NC,Chapel Hill,Bolin Creek Trail,anchor,yes,candidate
Southeast,NC,Burlington,Burlington City Park,anchor,yes,candidate
Southeast,NC,Burlington,Arboretum at Willowbrook Park,anchor,yes,candidate
Southeast,NC,Burlington,Lake Mackintosh Park and Marina,anchor,yes,candidate
Southeast,NC,Burlington,Lake Cammack Park and Marina,anchor,yes,candidate
Southeast,NC,Mooresville,Liberty Park,anchor,yes,candidate
Southeast,NC,Mooresville,Mazeppa Park,anchor,yes,candidate
Southeast,NC,Mooresville,Cornelius Road Park,anchor,yes,candidate
Southeast,NC,Wake Forest,E. Carroll Joyner Park,anchor,yes,candidate
Southeast,NC,Wake Forest,Holding Park,anchor,yes,candidate
Southeast,NC,Wake Forest,J.B. Flaherty Park,anchor,yes,candidate
Southeast,NC,Wake Forest,Smith Creek Greenway,anchor,yes,candidate
Southeast,NC,Asheville,Carrier Park,anchor,yes,candidate
Southeast,NC,Asheville,French Broad River Park,anchor,yes,candidate
Southeast,NC,Asheville,Richmond Hill Park,anchor,yes,candidate
Southeast,NC,Asheville,Pack Square Park,anchor,yes,candidate
Southeast,NC,Asheville,Western North Carolina Nature Center,anchor,yes,candidate
Pacific,CA,Carlsbad,Carlsbad State Beach,anchor,yes,priority-contributor-request
Pacific,CA,Oceanside,Oceanside City Beach and Pier,anchor,yes,priority-contributor-request
Pacific,CA,Carlsbad,Alga Norte Community Park,supporting,no,coast-public-access-expansion
Pacific,CA,Carlsbad,Aviara Community Park,supporting,no,coast-public-access-expansion
Pacific,CA,Carlsbad,Calavera Hills Community Park,supporting,no,coast-public-access-expansion
Pacific,CA,Carlsbad,Poinsettia Community Park,supporting,no,coast-public-access-expansion
Pacific,CA,Carlsbad,Pine Avenue Community Park,supporting,no,coast-public-access-expansion
Pacific,CA,Carlsbad,Stagecoach Community Park,supporting,no,coast-public-access-expansion
Pacific,CA,Carlsbad,Magee Park,supporting,no,coast-public-access-expansion
Pacific,CA,Carlsbad,Leo Carrillo Ranch Historic Park,supporting,no,coast-public-access-expansion
Pacific,CA,Carlsbad,Batiquitos Lagoon,supporting,no,coast-public-access-expansion
Pacific,CA,Carlsbad,Lake Calavera Preserve,supporting,no,coast-public-access-expansion
Pacific,CA,Carlsbad,Agua Hedionda Lagoon Discovery Center,supporting,no,coast-public-access-expansion
Pacific,CA,Carlsbad,South Carlsbad State Beach,supporting,no,coast-public-access-expansion
Pacific,CA,Oceanside,Buddy Todd Park,supporting,no,coast-public-access-expansion
Pacific,CA,Oceanside,Heritage Park Village and Museum,supporting,no,coast-public-access-expansion
Pacific,CA,Oceanside,Mance Buchanon Park,supporting,no,coast-public-access-expansion
Pacific,CA,Oceanside,Libby Lake Park,supporting,no,coast-public-access-expansion
Pacific,CA,Oceanside,Guajome Regional Park,supporting,no,coast-public-access-expansion
Pacific,CA,Oceanside,San Luis Rey River Trail,supporting,no,coast-public-access-expansion
Pacific,CA,Oceanside,El Corazon Park and Trails,supporting,no,coast-public-access-expansion
Pacific,CA,Oceanside,Oak Riparian Park,supporting,no,coast-public-access-expansion
Pacific,CA,Oceanside,Buena Vista Audubon Nature Center,supporting,no,coast-public-access-expansion
Mid-Atlantic,DC,Washington,Kenilworth Park & Aquatic Gardens,anchor,yes,super-enriched
Mid-Atlantic,DC,Washington,Theodore Roosevelt Island,supporting,yes,super-enriched
Mid-Atlantic,DC,Washington,Meridian Hill Park (Malcolm X Park),supporting,yes,super-enriched
Mid-Atlantic,DC,Washington,Georgetown Waterfront Park,supporting,yes,super-enriched
Mid-Atlantic,DC,Washington,U.S. National Arboretum,anchor,yes,super-enriched
Midwest,IL,Chicago,Maggie Daley Park,anchor,yes,super-enriched
Midwest,IL,Chicago,Chicago Riverwalk,anchor,yes,super-enriched
Midwest,IL,Chicago,Jackson Park,anchor,yes,super-enriched
Midwest,IL,Chicago,Garfield Park Conservatory,anchor,yes,super-enriched
Midwest,IL,Chicago,Chicago Lakefront Trail,anchor,yes,super-enriched
Pacific,CA,Los Angeles,Gloria Molina Grand Park,anchor,yes,super-enriched
Pacific,CA,Los Angeles,Echo Park Lake,anchor,yes,super-enriched
Pacific,CA,Los Angeles,Venice Beach & Ocean Front Walk,anchor,yes,super-enriched
Pacific,CA,Los Angeles,Runyon Canyon Park,anchor,yes,super-enriched
Pacific,CA,Los Angeles,Los Angeles State Historic Park,anchor,yes,super-enriched
Pacific,CA,Los Angeles,Kenneth Hahn State Recreation Area,anchor,yes,super-enriched
Southeast,FL,Miami Beach,South Pointe Park,anchor,yes,super-enriched
Southeast,FL,Miami Beach,Lummus Park,anchor,yes,super-enriched
Southeast,FL,Key Biscayne,Crandon Park,anchor,yes,super-enriched
Southeast,FL,Key Biscayne,Bill Baggs Cape Florida State Park,anchor,yes,super-enriched
Southeast,FL,Miami,Historic Virginia Key Beach Park,anchor,yes,super-enriched
Southeast,FL,Miami,Maurice A. Ferré Park,anchor,yes,super-enriched
Southeast,FL,Fort Lauderdale,Fort Lauderdale Beach Park,anchor,yes,super-enriched
Southeast,FL,Hollywood,Hollywood Beach and Broadwalk,anchor,yes,super-enriched
Southeast,FL,Hollywood,Anne Kolb Nature Center,anchor,yes,super-enriched
Southeast,FL,Hollywood,Hollywood North Beach Park,anchor,yes,super-enriched
Southeast,FL,Dania Beach,Dr. Von D. Mizell-Eula Johnson State Park,anchor,yes,super-enriched
Southeast,FL,Deerfield Beach,Quiet Waters Park,anchor,yes,super-enriched
Southeast,FL,Cooper City,Brian Piccolo Sports Park & Velodrome,anchor,yes,super-enriched
Mid-Atlantic,DC,Washington,East Potomac Park & Hains Point,anchor,yes,super-enriched
Mid-Atlantic,VA,Arlington,Gravelly Point,supporting,yes,super-enriched
Mid-Atlantic,VA,McLean,Great Falls Park,anchor,yes,super-enriched
Mid-Atlantic,MD,Glen Echo,Glen Echo Park,anchor,yes,super-enriched
Mid-Atlantic,MD,Potomac,Great Falls Tavern & Olmsted Island,anchor,yes,super-enriched
Mid-Atlantic,VA,Alexandria,Huntley Meadows Park,anchor,yes,super-enriched
Mid-Atlantic,MD,Bethesda,Cabin John Regional Park,anchor,yes,super-enriched
Mid-Atlantic,MD,Rockville,Rock Creek Regional Park,anchor,yes,super-enriched
Mid-Atlantic,VA,Fairfax Station,Burke Lake Park,anchor,yes,super-enriched
Mid-Atlantic,MD,Wheaton,Wheaton Regional Park,anchor,yes,super-enriched
Mid-Atlantic,MD,Upper Marlboro,Watkins Regional Park,anchor,yes,super-enriched
Mid-Atlantic,MD,Gaithersburg,Seneca Creek State Park,anchor,yes,super-enriched
Mid-Atlantic,MD,Ellicott City,Patapsco Valley State Park,anchor,yes,super-enriched
Mid-Atlantic,MD,Annapolis,Sandy Point State Park,anchor,no,super-enriched
Mid-Atlantic,MD,Edgemere,North Point State Park,supporting,no,super-enriched
